App ID,App Name,Phone Number,WABA ID,Phone ID,Status,Response
4c1f6a66-0e72-410e-bf0c-e15c4ac7ad35,5952137997,AutomaqNeumaticos,208399599029346,218514354681307,200,"{""message"":""App migrated successfully"",""status"":""success""}"
350bd0a5-cca6-42b7-aac7-36b538f0bf93,5959933160,ComfortHouse,130307093304265,102708712791474,200,{"message":"App migrated successfully","status":"success"}
1595b655-0765-4095-ac49-f4c783a185e7,5952123767,Copipunto,454592978960113,461964201707733,200,{"message":"App migrated successfully","status":"success"}
29249556-95fa-495d-9fc8-00d8bee9f36c,595985670,GodsPan,114474028280437,117241594670216,200,{"message":"App migrated successfully","status":"success"}
3707432f-53e8-4a4e-a9c7-0056b5579e73,5959811484,Reimpex,100519986139487,107721465408180,200,{"message":"App migrated successfully","status":"success"}
d79f5a0d-f2b1-4c75-926f-f307672f915d,595981408,Rochester,102029472636301,108580101982828,200,{"message":"App migrated successfully","status":"success"}
